Скважина;Ствол;Дата начала;Дата конца;Координата Т1 Х, м;Координата Т1 У, м;Координата Т3 Х, м;Координата Т3 У, м
2094;2094_0;26.12.2017;11.04.2262;444974.16;7091361.41;445016.31;7092165
2095;2095_0;29.01.2018;11.04.2262;446674.55;7090959.64;447205.66;7091414.55
2095;2095_1;29.01.2018;11.04.2262;446674.55;7090959.64;447423.78;7091087.38
2096;2096_0;28.01.2025;11.04.2262;444329.13;7091358.89;444274.88;7092261.87
2097;2097_0;27.02.2025;11.04.2262;447557.85;7089987.96;448373.11;7089980.47
2098;2098_0;26.03.2025;11.04.2262;446646.82;7088351.01;447288.72;7087647.93
2101;2101_0;06.01.2011;21.01.2022;449187.67;7092851.27;;
2101;2101_1;21.01.2022;11.04.2262;449503.57;7093100.07;;
2102;2102_0;26.06.2014;11.04.2262;450966.02;7090017.58;;
2103;2103_2;31.12.2022;11.04.2262;450166.34;7090845.01;449696.26;7090583.66
2104;2104_0;09.01.2011;11.04.2262;449854.55;7091377.25;;
2106;2106_0;02.12.2010;11.04.2262;448958.14;7091172.89;;
2108;2108_0;05.01.2011;11.04.2262;450636.14;7091366.02;451055.31;7091127.02
2110;2110_0;22.01.2011;11.04.2262;444756.21;7093182.12;;
2111;2111_0;07.04.2011;18.02.2018;446098.69;7093983.21;445790.09;7094466.51
2111;2111_1;18.02.2018;11.04.2262;446392.28;7093726.16;446736.11;7094270.31
2113;2113_0;13.01.2011;11.04.2262;445275.22;7093438.18;444857.73;7093725.78
2114;2114_0;09.12.2010;11.04.2262;445698.95;7093761.05;;
2120;2120_0;15.10.2013;11.04.2262;444729.29;7087665.2;;
2121;2121_0;11.11.2013;11.04.2262;443633.87;7086895.34;;
2122;2122_0;02.01.2014;11.04.2262;444118.33;7087453.55;444515.92;7086682.44
2122;2122_1;02.01.2014;11.04.2262;444118.47;7087453.63;444747.71;7086887.13
2123;2123_0;04.02.2014;11.04.2262;443587.76;7088345.33;;
2124;2124_0;20.03.2014;11.04.2262;443059.54;7088016.2;442281.91;7088157.22
2124;2124_1;20.03.2014;11.04.2262;443059.69;7088015.79;442446.7;7087860.91
2125;2125_0;14.05.2014;11.04.2262;443150.28;7087257.52;443094.44;7086553.48
2125;2125_1;14.05.2014;11.04.2262;443150.75;7087258.94;442724.45;7086632.33
2126;2126_0;06.06.2014;11.04.2262;443085.55;7088606.05;;
2127;2127_0;01.08.2014;11.04.2262;442543.93;7088692.12;441936.99;7089110.67
2127;2127_1;01.08.2014;11.04.2262;442543.88;7088691.97;441798.32;7088597.64
2128;2128_0;07.09.2014;11.04.2262;443550.25;7088983.17;443338.65;7089708.67
2128;2128_1;07.09.2014;11.04.2262;443557.16;7088970.12;442894.7;7089373.07
2129;2129_0;29.10.2014;11.04.2262;442705.02;7087399.27;;
2130;2130_0;30.11.2014;11.04.2262;444912.9;7087290.93;445428.73;7087046.91
2130;2130_1;30.11.2014;11.04.2262;444912.9;7087290.93;445271.2;7086855.87
2140;2140_0;07.06.2015;11.04.2262;445162.78;7086168.85;446150.18;7085975.58
2140;2140_1;07.06.2015;11.04.2262;445162.77;7086168.87;445899.06;7086682.49
2141;2141_0;20.07.2015;11.04.2262;444282.38;7086241.92;444197.79;7085310.81
2142;2142_0;31.08.2015;11.04.2262;443639.93;7086007.36;443079.18;7085372.74
2142;2142_1;31.08.2015;11.04.2262;443639.89;7086007.45;442814.53;7085786.45
2143;2143_0;28.09.2015;11.04.2262;445793.54;7087239.32;446539.56;7087680.66
2143;2143_1;28.09.2015;11.04.2262;445793.53;7087239.32;446084.05;7087847.9
2144;2144_0;21.10.2015;11.04.2262;444697.66;7084952.33;;
2145;2145_0;27.11.2015;11.04.2262;446207.37;7087024.41;;
2146;2146_0;07.12.2015;11.04.2262;445044.13;7085432.16;445383.45;7084459.53
2147;2147_0;09.01.2016;11.04.2262;445305.3;7085675.56;446208.66;7084888.83
2148;2148_0;10.03.2016;11.04.2262;443869.12;7084592.7;443181.84;7083604.12
2148;2148_1;10.03.2016;11.04.2262;443868.85;7084592.17;443796.13;7083805.74
2149;2149_0;29.04.2016;11.04.2262;444396.53;7084478.43;444243.68;7083623.96
2149;2149_1;29.04.2016;11.04.2262;444396.53;7084478.43;444711.79;7083645.43
2150;2150_0;13.06.2016;11.04.2262;444925.15;7084369.33;445201.73;7083625.32
2150;2150_1;13.06.2016;11.04.2262;444927.85;7084366.51;445565.54;7083895.36
2151;2151_0;02.07.2016;11.04.2262;444789.01;7086406;;
2152;2152_0;28.12.2016;11.04.2262;443541.36;7085149.4;443049.94;7084498.96
2153;2153_0;31.08.2016;11.04.2262;445825.64;7084643.81;446248.47;7083894.07
2154;2154_0;30.09.2016;11.04.2262;446239.46;7085512.1;;
2155;2155_0;27.10.2016;11.04.2262;443032.82;7086205.84;442021.16;7086282.58
2156;2156_0;28.05.2020;11.04.2262;442896.98;7089908.31;442741.53;7090218.61
2157;2157_0;27.06.2020;11.04.2262;442270.41;7087658.56;441634.43;7087553.04
2601;2601_0;17.04.2025;11.04.2262;442860.12;7085156.92;441957.23;7084797.5
2602;2602_0;21.05.2025;11.04.2262;446324.38;7084505.99;446824.19;7083712.33
2602;2602_1;21.05.2025;11.04.2262;446278.12;7084545.64;447112.59;7083982.98
2603;2603_0;15.06.2025;11.04.2262;442919.87;7085642.06;441919.02;7085804.16
2603;2603_1;15.06.2025;11.04.2262;442919.87;7085642.06;442127.43;7085426.06
2700;2700_0;08.07.2019;11.04.2262;444727.43;7081488.34;;
2701;2701_0;22.06.2019;11.04.2262;444911.6;7082088.42;444962.07;7083161.53
2701;2701_1;22.06.2019;11.04.2262;444911.6;7082088.42;445367.54;7082777.01
2702;2702_0;07.08.2019;11.04.2262;444273.72;7082108.57;443592.97;7082812.34
2702;2702_1;07.08.2019;11.04.2262;444273.72;7082108.57;444002.85;7083055.03
2703;2703_0;27.09.2019;30.09.2019;444389.31;7080972.91;444658.97;7079993.49
2703;2703_1;30.09.2019;11.04.2262;444389.31;7080972.91;444037.27;7080044.76
2704;2704_0;21.11.2019;11.04.2262;445156.86;7080926.58;445127.42;7080206.18
2704;2704_1;21.11.2019;11.04.2262;445113.01;7081171.35;445549.26;7080491.3
2705;2705_0;28.12.2019;11.04.2262;445289.84;7083082.5;446277.62;7083198.14
2705;2705_1;28.12.2019;11.04.2262;445289.84;7083082.5;446134.33;7083488.66
2706;2706_0;27.03.2020;11.04.2262;445183.67;7081672.92;446128.84;7081931.34
2706;2706_1;27.03.2020;11.04.2262;445183.67;7081672.92;445846.87;7082405.84
2707;2707_0;10.04.2020;11.04.2262;444936.97;7079988.98;445470.43;7079073.95
2707;2707_1;10.04.2020;11.04.2262;444936.97;7079988.98;444943.01;7078976.49
2708;2708_0;08.05.2022;11.04.2262;444078.78;7081475.6;443079.03;7081614.17
2708;2708_1;08.05.2022;11.04.2262;444078.78;7081475.6;443288.48;7082392.36
2709;2709_0;18.06.2022;11.04.2262;445735.36;7079991.43;446233.06;7079704.36
2709;2709_1;18.06.2022;11.04.2262;445735.36;7079991.43;445927.16;7079028.68
2710;2710_0;15.07.2022;11.04.2262;444600.41;7082190.53;444497.75;7083181.68
2711;2711_0;02.09.2022;11.04.2262;445429.25;7081325;446194.02;7081154.12
2711;2711_1;02.09.2022;11.04.2262;445429.25;7081325;446011.73;7080309.89
2712;2712_0;09.10.2022;11.04.2262;443742.87;7083075.38;442706.99;7083231.68
2712;2712_1;09.10.2022;11.04.2262;443742.87;7083075.38;442726.56;7083522.73
78PO;78PO_0;05.03.2009;11.04.2262;449818.56;7095439.97;;
